,x
0,0.0
1,0.10101010101010101
2,0.20202020202020202
3,0.30303030303030304
4,0.40404040404040403
5,0.5050505050505051
6,0.6060606060606061
7,0.7070707070707071
8,0.8080808080808081
9,0.9090909090909091
10,1.0101010101010102
11,1.1111111111111112
12,1.2121212121212122
13,1.3131313131313131
14,1.4141414141414141
15,1.5151515151515151
16,1.6161616161616161
17,1.7171717171717171
18,1.8181818181818181
19,1.9191919191919191
20,2.0202020202020203
21,2.121212121212121
22,2.2222222222222223
23,2.323232323232323
24,2.4242424242424243
25,2.525252525252525
26,2.6262626262626263
27,2.727272727272727
28,2.8282828282828283
29,2.929292929292929
30,3.0303030303030303
31,3.131313131313131
32,3.2323232323232323
33,3.3333333333333335
34,3.4343434343434343
35,3.5353535353535355
36,3.6363636363636362
37,3.7373737373737375
38,3.8383838383838382
39,3.9393939393939394
40,4.040404040404041
41,4.141414141414141
42,4.242424242424242
43,4.343434343434343
44,4.444444444444445
45,4.545454545454545
46,4.646464646464646
47,4.747474747474747
48,4.848484848484849
49,4.94949494949495
50,5.05050505050505
51,5.151515151515151
52,5.252525252525253
53,5.353535353535354
54,5.454545454545454
55,5.555555555555555
56,5.656565656565657
57,5.757575757575758
58,5.858585858585858
59,5.959595959595959
60,6.0606060606060606
61,6.161616161616162
62,6.262626262626262
63,6.363636363636363
64,6.4646464646464645
65,6.565656565656566
66,6.666666666666667
67,6.767676767676767
68,6.8686868686868685
69,6.96969696969697
70,7.070707070707071
71,7.171717171717171
72,7.2727272727272725
73,7.373737373737374
74,7.474747474747475
75,7.575757575757575
76,7.6767676767676765
77,7.777777777777778
78,7.878787878787879
79,7.979797979797979
80,8.080808080808081
81,8.181818181818182
82,8.282828282828282
83,8.383838383838384
84,8.484848484848484
85,8.585858585858587
86,8.686868686868687
87,8.787878787878787
88,8.88888888888889
89,8.98989898989899
90,9.09090909090909
91,9.191919191919192
92,9.292929292929292
93,9.393939393939394
94,9.494949494949495
95,9.595959595959595
96,9.696969696969697
97,9.797979797979798
98,9.8989898989899
99,10.0
